gamma,ell,unbound_mass,bound_mass,seeded_mass,unbound_share,labor_share_auto,labor_share_reinst,resorted,converged,ell_mult
0.2,0.06652077724827618,0.027271932367866673,0.0008883415036554105,0.03878483560407703,0.7031596742155553,0.6490493376937494,0.6458222440420246,0.13770144625291536,True,0.5
0.2,0.09978116587241427,0.02671065724998966,0.0014577872595472917,0.03879608893398542,0.6884884013808693,0.6490028003033377,0.6447653448103778,0.13762570102739952,True,0.75
0.2,0.13304155449655236,0.02621914111757767,0.001957194449477252,0.038806957200749205,0.6756299130062041,0.6489576612960669,0.6440631052905288,0.13755224482597034,True,1.0
0.2,0.19956233174482854,0.02544802881095906,0.002740425889129104,0.03882364874943594,0.6554775151402736,0.6488865920571399,0.6432701758683279,0.13744178701544768,True,1.5
0.2,0.2660831089931047,0.02489082506632441,0.0033053603163360756,0.038834296133550265,0.6409495612003736,0.6488387757847018,0.6428900995575487,0.13737415692055965,True,2.0
0.35,0.06652077724827618,0.04773308482988825,0.0015548550786728536,0.06788373775548956,0.7031593487355993,0.6490219281835873,0.6452517821000459,0.13766640795224894,True,0.5
0.35,0.09978116587241427,0.04676091395552532,0.0025520659755351614,0.06791822510318339,0.6884884562940911,0.6489404950031838,0.6442490917846654,0.1375344023976463,True,0.75
0.35,0.13304155449655236,0.045910135853478,0.003427030499465296,0.06795153679613268,0.6756305746434698,0.6488613902992626,0.6437046743236635,0.1374061891422652,True,1.0
0.35,0.19956233174482854,0.04457435832271352,0.0047999585091813585,0.06800270374235357,0.6554792069973482,0.6487365768987207,0.6433246168723319,0.13721254218655354,True,1.5
0.35,0.2660831089931047,0.04360726119690898,0.005790620247542103,0.0680351590241536,0.6409518522831362,0.6486527308714954,0.6433495985033333,0.1370995768724163,True,2.0
0.5,0.06652077724827618,0.06820044108361968,0.0022215898911132253,0.09699148902888872,0.7031590273174001,0.6489944625639185,0.6449648399472286,0.13763127475870812,True,0.5
0.5,0.09978116587241427,0.06682601086915564,0.0036471508128379255,0.09706191078985854,0.6884885154778749,0.648877987443511,0.6441425254662367,0.13744308032933267,True,0.75
0.5,0.13304155449655236,0.06562401911594512,0.0048985317986645315,0.09712993403694649,0.6756312538108274,0.6487647765440056,0.6438556532922813,0.13725972519311158,True,1.0
0.5,0.19956233174482854,0.06373502812966345,0.006863071864339677,0.0972339869533948,0.6554809704575033,0.6485859131820922,0.6440250730858628,0.13699140409499258,True,1.5
0.5,0.2660831089931047,0.0623649466776583,0.008281197727828149,0.09730015799312178,0.6409542179989772,0.6484658208629185,0.6445494706178876,0.13683156610234923,True,2.0
0.65,0.06652077724827618,0.08867402056051482,0.0028885465702638163,0.12610811705371278,0.7031587072444053,0.6489670091977097,0.644838130159806,0.13759651020822192,True,0.5
0.65,0.09978116587241427,0.08690599039523705,0.0047430432476260696,0.12622720643017818,0.6884885822400624,0.6488153080256738,0.6442655123796247,0.13735148144393491,True,0.75
0.65,0.13304155449655236,0.08536057683878627,0.0063716773184616885,0.12634182512969896,0.6756319750103142,0.648668172675589,0.6442885030357314,0.1371170359021398,True,1.0
0.65,0.19956233174482854,0.08293002091771708,0.008929759706188308,0.12651746593017707,0.6554827849894244,0.648435132243899,0.6450823908152306,0.13677304748145652,True,1.5
0.65,0.2660831089931047,0.08116399493899218,0.01077709414137112,0.1266294511733366,0.6409566983583537,0.6482761898396185,0.646131345269339,0.13656937071815134,True,2.0
0.8,0.06652077724827618,0.10915384576653325,0.0035557256943226988,0.15523365362351824,0.7031583887812083,0.6489394424489179,0.6448168702082963,0.13756163183222925,True,0.5
0.8,0.09978116587241427,0.10700072328871929,0.005839732692191155,0.15541391943402108,0.6884886738484517,0.6487527378955725,0.6445396942001727,0.13726056203415185,True,0.75
0.8,0.13304155449655236,0.10511984140952024,0.007846466526834052,0.1555872539486146,0.675632731741881,0.648571223621029,0.644906298710033,0.13697633704816373,True,1.0
0.8,0.19956233174482854,0.10215951052357813,0.011000018496673081,0.15585337522315812,0.65548474890134,0.6482819824007238,0.6463418707437636,0.13655999536801455,True,1.5
0.8,0.2660831089931047,0.10000475346101226,0.013278303422225366,0.15602350879076152,0.6409595210111936,0.6480866426070829,0.6479002419179668,0.136309425887565,True,2.0
