id,name,batch,status,is_ai,is_robotics,xi,chi
26713,Pasito,Summer 2022,Active,1,0,6.276402746189568,0.21314733101470468
26717,Blitz,Summer 2022,Active,1,0,3.279482315570087,0.041324732030775135
26718,Cerrion,Summer 2022,Active,1,0,2.724805345137154,0.37991888573699306
26722,Boundo,Summer 2022,Active,1,0,4.173217312857453,0.1264811863437653
26723,CustomerOS,Summer 2022,Inactive,1,0,0.8199839811628296,0.16456069384615202
26725,ECSA,Summer 2022,Active,1,0,4.156828410193634,0.10151319004631955
26733,Roxels,Summer 2022,Active,1,0,4.849372475699488,0.20856852727874464
26737,Fetii,Summer 2022,Active,1,0,4.5043793385286985,0.19245917946294272
26739,Craze,Summer 2022,Active,1,0,4.637752448869756,0.12393005147527629
26741,Paragon AI,Summer 2022,Active,1,0,4.912930094668714,0.06823550490592195
26750,NuMind,Summer 2022,Active,1,0,0.44453026662491724,0.16396824699585574
26756,Midplane,Summer 2022,Active,1,0,4.29799059413558,0.08260040681580764
26776,Overwatch,Summer 2022,Active,1,0,1.1563830885044741,0.21937868455540524
26778,Blee,Summer 2022,Active,1,0,1.1774970647012934,0.22693286971817486
26783,Raven,Summer 2022,Active,1,0,3.008338523188345,0.19375378989195943
26784,Seaflight Technologies,Summer 2022,Active,0,1,2.382500077636137,0.2396742695070991
26792,Activepieces,Summer 2022,Active,1,0,3.795160898838846,0.12303839863569178
26796,Popsy,Summer 2022,Active,1,0,5.911049586517772,0.14606706323810092
26800,Juicebox,Summer 2022,Active,1,0,5.037056955904388,0.07544228166170383
26802,Apply Design,Summer 2022,Active,1,0,4.527952555333058,0.09081869906539734
26806,Illuminant Surgical,Summer 2022,Active,0,1,2.2467824031901427,0.1288007259337804
26808,Phind,Summer 2022,Inactive,1,0,0.21021233601697037,0.13524527828101823
26819,Namecard.ai,Summer 2022,Active,1,0,5.955855217058637,0.13228333851979412
26825,Flair Labs,Summer 2022,Active,1,0,4.849659450202959,0.12467903391702476
26837,Unify,Winter 2023,Active,1,0,5.050426223896661,0.3288597001894233
26851,Mistle,Summer 2022,Active,1,0,4.5935305081743785,0.13374722738696132
26859,Typewise,Summer 2022,Active,1,0,4.666442176072175,0.1724793382712392
26860,NewsCatcher,Summer 2022,Active,1,0,0.20022909894860336,0.06915230941654729
26861,100x,Summer 2022,Active,1,0,6.101470852954522,0.24315044073091122
26863,Provision,Summer 2022,Active,1,0,2.4458584789955005,0.23342465954193778
