quantity,isotropic,anisotropic,move,threshold,holds
"labour share, automation",0.6487647765440056,0.6540430594236752,0.0052782828796696935,0.01,True
"labour share, reinstatement",0.6438556532922813,0.6489483609340472,0.005092707641765837,0.01,True
reinstatement gap,0.004909123251724212,0.005094698489628069,0.00018557523790385666,0.005,True
unbound share of seeded mass,0.6756312538108274,0.6852561439217592,0.009624890110931705,0.02,True
re-sorted employment mass,0.13725972519311158,0.1348170097283808,-0.0024427154647307936,0.01,True
AI startup ring enrichment,1.2955705322652473,1.2836456149158972,-0.011924917349350084,0.05,True
