field,window,N,spearman_raw,p_raw,partial_w0,p_partial
"cognitive (calibrated, baseline)",2019-2023,725,0.3403886778648428,4.0027074164174856e-21,0.030991782005593237,0.4047096538953266
"cognitive (calibrated, baseline)",2023-2025,725,0.040238330099186814,0.27924411543923655,-0.026368434088955874,0.478392752773708
"cognitive (calibrated, baseline)",2019-2025,725,0.34010032899080594,4.3406273093277416e-21,0.021243208794411588,0.5679532980298863
"P1 robot field (Webb, old technology)",2019-2023,725,0.03359106636078504,0.3664402602821108,-0.021497678261350524,0.5633244164263739
"P1 robot field (Webb, old technology)",2023-2025,725,0.026032426560094017,0.4840186999464775,0.017469098767076356,0.63864505034192
"P1 robot field (Webb, old technology)",2019-2025,725,0.04262153695625474,0.2517286899616685,-0.011891578326546321,0.7492341546060183
P2 rotated cognitive clone (+180 deg),2019-2023,725,-0.12320535640515995,0.0008862334570511527,-0.0016813378885452632,0.9639532155479357
P2 rotated cognitive clone (+180 deg),2023-2025,725,-0.007077429335074511,0.8491217127449108,0.01588662377439142,0.6693434323117283
P2 rotated cognitive clone (+180 deg),2019-2025,725,-0.1313610427151075,0.0003907121814835018,-0.00881531810183663,0.8126919009167838
