vintage,N,R2,m0,m1,m2,m3,m4,m5,se_m0,se_m1,se_m2,se_m3,se_m4,se_m5,amplitude,se_amplitude,direction_deg,se_direction_deg,m3_t,level_dir_deg,level_amp
2023 (committed),785,0.5228241701684115,3.4194807359941333,0.19207370828367673,0.08885714151957458,-0.06467671009241482,0.008155927293086274,0.8912500741970265,0.0354907291602259,0.04835942024431018,0.051237712395700005,0.08967014402248083,0.11232882561301853,0.1338178277305204,0.891287391308895,0.1336729335604293,89.47569466556129,7.232060898711228,-0.721273627888899,24.826205654889307,0.2116315217846166
1999,774,0.5091318793913249,2.650128910987105,0.11507120956912018,0.18082045768424906,0.2806939661583514,0.2654205442774381,0.6293228441477365,0.028499094315393086,0.0394955924271052,0.043996907605200045,0.06928829941412785,0.08721911222030776,0.12040055306536973,0.6830046174739434,0.11202832237878001,67.13213401773348,8.199203166523779,4.051101968612005,57.52798551351959,0.2143301686390455
1999 one_to_one,682,0.5255931522517718,2.654316079868674,0.1056346799398548,0.19622317027622732,0.30918917414104297,0.319343855790105,0.6360850070748723,0.031129773814616003,0.04217767869119893,0.04934956353260276,0.07483872007578875,0.09193857424381376,0.13054887452435013,0.7117475918163205,0.12059265692397274,63.34124945067491,8.424915856504882,4.131406494230912,61.70466591532212,0.22285021462688534
2003,776,0.5204606192392668,2.808676250943553,0.12747909038715555,0.17357340934232235,0.20787245082400224,0.25979073329895114,0.6847130241184952,0.02900414154314586,0.041496545734296036,0.043585440338634956,0.06995218269471684,0.09030024540669056,0.11923744952775374,0.7323408704322747,0.11277167119184577,69.22247845042067,7.6872095145848185,2.9716363781126427,53.70498617495717,0.21535702198129963
2007,878,0.5065873803446325,3.003906097070136,0.14682731276787653,0.10432548685098471,0.0719630558153262,0.27889783791638834,0.8999986991674876,0.035429668327443764,0.050455842790569576,0.05370718277787216,0.08215123868391523,0.10768307569555731,0.13814301225824616,0.9422216631438729,0.13530314098740698,72.78247420439477,6.7638342216853475,0.8759826019448221,35.395007768186375,0.1801168148211899
2023 (committed) balanced,694,0.557110718881743,3.4088973576051127,0.20774226134028256,0.12144329060923592,-0.06009820904837764,-0.046176787591890575,0.8267112318627192,0.03200347388906064,0.044176214580817906,0.04524977133701239,0.08263039315221127,0.10438275626772696,0.12021487222058735,0.8279998530194804,0.12137269438898542,93.19699141284822,7.129740696004824,-0.7273136040593722,30.309973454105915,0.24063524259919533
1999 balanced,694,0.5463342263931285,2.7110411959784546,0.21291532137861416,0.11490669478267694,0.032383328246302474,-0.09649123302429874,0.9028065025043785,0.03067121327555998,0.04136664914556246,0.0462933578036473,0.08032821018701596,0.0991176135860373,0.12639076442717725,0.9079483129643108,0.12914298433199872,96.10056792230675,6.0267492318647236,0.40313767941435885,28.35496457869754,0.24194313915388843
2003 balanced,694,0.5623696436077448,2.865350751483586,0.22311573226186723,0.11820192002027002,-0.027079787237043032,-0.09113800844389953,0.9262105000954153,0.031186188855024156,0.04317516674706761,0.045583126860549224,0.08184287316221332,0.10294320732142503,0.1254488949582385,0.9306836342550134,0.12813830742255444,95.61974555526623,6.130184676418528,-0.33087532476249515,27.913681330284668,0.25249222538372845
2007 balanced,694,0.5924818380710752,3.0143689151335944,0.23112718702128102,0.12608777242433242,-0.07134736822642429,-0.052417436164573894,0.9581229052662733,0.032746232419381356,0.045557011173233485,0.04751167556666311,0.08448032967540221,0.10722583968952558,0.12956527507357435,0.9595556728037989,0.13123263226552212,93.13144264823697,6.28029192950358,-0.8445441501064385,28.613974509308175,0.26328293323970026
