fit,role,xi_K_deg,xi_K_rad,chi_K,z_K,A_K,px,py,s_K,r2_task_unweighted,r2_task_emp_weighted,r2_surface,eta2_between_cell,condition_number,corr_zK_AK
unweighted,primary,38.381452073878975,0.669882710385594,0.4632694594614188,0.5825244465122659,0.6031868353341233,0.36315437929595695,0.2876412502890421,1.0,0.2460021602263327,0.2336063629450712,0.8174187295249893,0.2981043259444173,30.06002143936158,-0.2981553572602172
emp_weighted,sensitivity,39.44995644556781,0.6885316297435174,0.4174507024742926,0.5775582973681698,0.5998573050591949,0.32234702310696206,0.2652498552127032,1.0,0.2441855682964279,0.23547066070489464,,,,
