dist_to_pK,a,u,ring,phi
0.03626830359415422,0.9397611401859959,0.0003843605656324747,0.08333931693723737,0.6009744862765155
0.10880491078246265,0.9288202254909251,0.001073765806903899,0.19585368193269057,0.5916774260830213
0.18134151797077108,0.9024619881449863,0.0023229442041924502,0.30984651448793915,0.5736779664845408
0.25387812515907954,0.8529935930786042,0.004632633464992008,0.4113931274724323,0.5476976288313812
0.326414732347388,0.7657383579661601,0.008892535461422884,0.4970198285797379,0.51437561901073
0.3989513395356964,0.6435325305253575,0.015251877568291728,0.5611173374346283,0.4761144087325773
0.47148794672400485,0.49887567870771765,0.023197530613162824,0.6034303399179127,0.4341370380119628
0.5440245539123133,0.3853728508198352,0.029580736521390982,0.624291615495565,0.3903738944982781
0.6165611611006218,0.2379862155245547,0.036742231900491105,0.6252406360796023,0.34470827507556046
0.6890977682889302,0.1511103681849509,0.03993069181374077,0.6078063927990306,0.299696409018525
0.7616343754772387,0.09980240702660663,0.040145293607430764,0.5752358446954257,0.25648436954701226
0.834170982665547,0.06225159854787863,0.038770054746320635,0.5318135230472919,0.21671957203646447
0.9067075898538555,0.032596694124849085,0.03630173714555894,0.4801509481252437,0.18003317321235715
0.9792441970421639,0.018224942244505996,0.03269329135962831,0.42419442893831644,0.14728047619141904
1.0517808042304724,0.009358798262446975,0.02876354026890316,0.366990016623365,0.1186461243101945
1.1243174114187808,0.003060014181824342,0.024747139545401347,0.31082930869084147,0.09397398448649863
1.1968540186070893,0.001318883672271854,0.020795217972692577,0.25823954056186943,0.07333657597443274
1.2693906257953977,0.0003340657100212423,0.017119156010515262,0.21041379208764535,0.05633020529355881
1.3419272329837062,6.35749580601885e-05,0.013834807102724337,0.16841747159782708,0.04265516794968937
1.4144638401720147,4.757771760987712e-06,0.010987153129492435,0.132729232233667,0.03191451788595372
