corpus,field,alignment,vs_control,p,n
AI,cognitive,0.18474748728384757,0.1404155964891043,0.0,1894
AI,robot,-0.19888248376697001,-0.08745317843561988,0.00015,1894
robotics,cognitive,-0.5125966711245749,-0.5569285619193182,0.0,155
robotics,robot,0.5810768635621986,0.6925061688935487,0.0,155
control,cognitive,0.0443318907947433,,,1500
control,robot,-0.11142930533135013,,,1500
