code,dL,strip_adj,cong_adj,reinst_adj,total_adj
11-1011.00,-0.0006300197764566636,-1.0152506034513191,0.16727988324249354,0.08770804865426651,-0.7602626715545591
11-1011.03,-0.0010214261358840251,-2.614789877701334,0.6776196574485986,0.1316432324791379,-1.805526987773597
11-1021.00,0.00208416131689005,-0.7084053795621343,-0.033569532689167625,0.12448220818736577,-0.6174927040639362
11-2011.00,-1.2576183017691235e-05,-0.5712909230376599,0.06665759409452443,0.05399781184245356,-0.45063551710068195
11-2021.00,-0.0010214038184002934,-1.5037970172206379,0.22490260698841658,0.11609049234162727,-1.162803917890594
11-2022.00,0.0002397354096735746,-0.4705607434388184,0.011530205965455398,0.0733510182670547,-0.3856795192063083
11-2033.00,-4.262458240696245e-05,-0.7107391656443731,0.0677201174748232,0.04812478984124624,-0.5948942583283037
11-3012.00,-0.00012103087309355085,-0.6203356825098503,0.02453573182401536,0.051051792925783435,-0.5447481577600515
11-3013.00,-7.470228129777831e-05,-0.6506000009584221,-0.01974781216661814,0.059810651804008685,-0.6105371613210315
11-3013.01,-0.0005670866058458267,-1.799188974478151,0.35223617450334155,0.06494615960908678,-1.3820066403657227
11-3021.00,-0.001406066019865343,-1.3136494473404032,0.20103452375859288,0.09627097465204448,-1.0163439489297659
11-3031.00,-0.0007821779377625076,-0.9092249591918271,0.06361030996888872,0.08371074695282443,-0.761903902270114
11-3031.01,-0.000329195586053912,-0.6705856772716685,0.06485010214578724,0.08546198566491814,-0.5202735894609631
11-3031.03,-0.002236802577974743,-1.6694136716608832,0.2413339947132378,0.10304084151847093,-1.3250388354291744
11-3051.00,-0.0002875028168184146,-0.818102127698348,0.16959120403762906,0.07250009741430175,-0.5760108262464172
11-3051.01,-0.0008746081039961547,-1.169781610472504,0.4537317801367564,0.04472347863709114,-0.6713263516986565
11-3051.02,-0.00039765929183502703,-0.5916978202499128,0.18208503465862913,0.0412423247878162,-0.36837046080346747
11-3051.03,-0.00028120156554085863,-0.4755263683125639,0.13531336054001963,0.03198777239041872,-0.30822523538212554
11-3051.04,-0.00020958256423981897,-0.39790142974183285,0.09625327683586571,0.035883714724501026,-0.2657644381814661
