field,n,xi_K_deg,chi_K,z_K,A_K,px,py,r2_task,r2_surface,eta2_between_cell,at_bound,provenance
webb_robot,719,206.88268571280503,0.7523303311703771,0.5022862338109009,0.2885770834576438,-0.6710291601372991,-0.340177591037917,0.42464774928043714,0.84190140955169,0.48758351590413684,True,"Webb (2020), frozen in webb2020_exposure.dta"
webb_software,719,145.77738230103913,0.752330331169867,0.7950322746111919,0.3083298100258944,-0.6220708235989232,0.42311797128592776,0.24299471261327255,0.6159116040036194,0.40022005900400226,True,"Webb (2020), frozen in webb2020_exposure.dta"
webb_ai,719,108.28115675067647,0.752330331170377,0.6956696468580261,0.5722980742144683,-0.23599112501154096,0.7143592346394889,0.2977439116933095,0.6967462263460233,0.41986022517572286,True,"Webb (2020), frozen in webb2020_exposure.dta"
eloundou,878,39.95242631033314,0.48511685294989304,0.5711743264618336,0.5784823116313557,0.37187985683995317,0.3115184313852137,0.5129362875729127,0.8322210204296728,0.6174204248129955,False,"Eloundou et al. (2024), frozen in onet_task_exposure.csv (occupation substrate)"
