window,N,spearman_raw,p_raw,partial_w0,p_partial,w0_gradient
2019-2023,725,0.3403886778648428,4.0027074164174856e-21,0.030991782005593237,0.4047096538953266,-0.5647834596094656
2023-2025,725,0.040238330099186814,0.27924411543923655,-0.026368434088955874,0.478392752773708,-0.10996177785323025
2019-2025,725,0.34010032899080594,4.3406273093277416e-21,0.021243208794411588,0.5679532980298863,-0.5762585189857893
