source,target,sign,source_type,mechanism
f,absorbed_tot,,ast,
f,dyn.grain,,ast,
f,dyn.reinst,,ast,
f_glob,absorbed,,ast,
f_glob,dyn.reinst,,ast,
f_glob,f,,ast,
fit_best,gap,,ast,
float,GammaD,,ast,
float,T_new,,ast,
float,W,,ast,
float,W_new_prosp,,ast,
float,absorbed_tot,,ast,
float,carry,,ast,
float,emp_new,,ast,
float,gap,,ast,
g,W,,ast,
g0_grid,a_grid,,ast,
g0_grid,h_grid,,ast,
g0_task,a_grid,,ast,
g0_task,a_task,,ast,
g0_task,h_task,,ast,
gap,W_new_prosp,,ast,
gap,potential,,ast,
grid,self.qk_grid,,ast,
grid.chi,self.qk_grid,,ast,
grid.xi,self.qk_grid,,ast,
h_grid,Rg,,ast,
h_grid,a_grid,,ast,
h_task,Rt,,ast,
h_task,a_grid,,ast,
importlib,_iface,,ast,
importlib,_ispec,,ast,
importlib.util,_iface,,ast,
importlib.util,_ispec,,ast,
importlib.util.module_from_spec,_iface,,ast,
importlib.util.spec_from_file_location,_ispec,,ast,
inp,cap,,ast,
inp,dyn,,ast,
inp,grid,,ast,
inp,self.gx,,ast,
inp,self.gy,,ast,
inp,self.inp,,ast,
inp,self.q_levels,,ast,
inp.cap,cap,,ast,
inp.cap,grid,,ast,
inp.grid,cap,,ast,
inp.grid,grid,,ast,
inp.grid,self.gx,,ast,
inp.grid,self.gy,,ast,
inp.grid.chi,self.gx,,ast,
inp.grid.chi,self.gy,,ast,
inp.grid.xi,self.gx,,ast,
inp.grid.xi,self.gy,,ast,
inp.occ,self.q_levels,,ast,
inp.occ.to_numpy,self.q_levels,,ast,
inp.occ.to_numpy.copy,self.q_levels,,ast,
int,j,,ast,
iter,n,,ast,
j,dj,,ast,
j,local,,ast,
k,oc,,ast,
k,over,,ast,
k,q_new,,ast,
k,qk,,ast,
k,rec,,ast,
k,self.Sq,,ast,
k,self.q0,,ast,
k,self.q_levels,,ast,
k,self.qk_grid,,ast,
k,under,,ast,
k_shock,A_of,,ast,
kappa,Tgt,,ast,
kappa,Um,,ast,
kappa,w_new,,ast,
keys,self.Sq,,ast,
keys,self._keys,,ast,
keys,self.q_levels,,ast,
keys,self.qk_grid,,ast,
lam_over,dyn,,ast,
lam_over,self.lam_over,,ast,
layer,L0,,ast,
layer,c,,ast,
layer,ell,,ast,
layer,eq,,ast,
layer,g0_grid,,ast,
layer,g0_task,,ast,
layer,inp,,ast,
layer,kappa,,ast,
layer,occ,,ast,
layer,tech,,ast,
layer.L0,L0,,ast,
layer.L0,inp,,ast,
layer.L0,occ,,ast,
layer.c,c,,ast,
layer.c,kappa,,ast,
layer.ell,ell,,ast,
layer.ell,tech,,ast,
layer.eq,eq,,ast,
layer.g0_grid,g0_grid,,ast,
layer.g0_grid,g0_task,,ast,
layer.g0_task,g0_grid,,ast,
layer.g0_task,g0_task,,ast,
layer.inp,L0,,ast,
layer.inp,inp,,ast,
layer.inp,occ,,ast,
layer.kappa,c,,ast,
layer.kappa,kappa,,ast,
layer.occ,L0,,ast,
layer.occ,inp,,ast,
layer.occ,occ,,ast,
layer.tech,ell,,ast,
layer.tech,tech,,ast,
list,keys,,ast,
loc_new,self.FIT,,ast,
loc_new,self.LOC,,ast,
local,W_new_prosp,,ast,
local,carry,,ast,
m,Z,,ast,
m,w_new,,ast,
main,dyn,,ast,
main,occ,,ast,
main,rec,,ast,
match_beta,Wb,,ast,
max,dGamma,,ast,
min,f_glob,,ast,
mu_new,d,,ast,
mu_new,self.mu,,ast,
n,W,,ast,
n,nb1,,ast,
n,neff,,ast,
n,pv,,ast,
n,under,,ast,
n0,M0,,ast,
n0,Mtot,,ast,
n0,d,,ast,
n0,q_new,,ast,
n0,self.FIT,,ast,
n0,self.mu,,ast,
nb1,W,,ast,
neff,nb1,,ast,
next,n,,ast,
next.size,n,,ast,
np.append,self.L,,ast,
np.append,self.original,,ast,
np.append,self.reinst,,ast,
np.arange,ts,,ast,
np.argmax,j,,ast,
np.bincount,D_o,,ast,
np.bincount,W,,ast,
np.bincount,self.sw,,ast,
np.cos,self.gx,,ast,
np.exp,A_of,,ast,
np.exp,P,,ast,
np.exp,Z,,ast,
np.exp,a_grid,,ast,
np.exp,a_task,,ast,
np.exp,e_new,,ast,
np.exp,h_grid,,ast,
np.exp,h_task,,ast,
np.exp,loc_new,,ast,
np.exp,local,,ast,
np.exp,self.LOC,,ast,
np.exp,w_new,,ast,
np.exp.sum,Z,,ast,
np.full,f,,ast,
np.hypot,d,,ast,
np.hypot,dj,,ast,
np.hypot,local,,ast,
np.maximum,neff,,ast,
np.maximum,over,,ast,
np.maximum,under,,ast,
np.minimum,f,,ast,
np.ones_like,surv,,ast,
np.sin,self.gy,,ast,
np.sqrt,d,,ast,
np.sum,GammaD,,ast,
np.sum,T_new,,ast,
np.sum,W,,ast,
np.sum,W_new_prosp,,ast,
np.sum,carry,,ast,
np.sum,emp_new,,ast,
np.vstack,self.E,,ast,
np.vstack,self.FIT,,ast,
np.vstack,self.LOC,,ast,
np.vstack,self.mu,,ast,
np.where,claim,,ast,
np.where,f,,ast,
np.where,nb1,,ast,
np.where,share,,ast,
np.zeros,W,,ast,
np.zeros,dyn.grain,,ast,
np.zeros,self.B,,ast,
np.zeros,self.Sq,,ast,
np.zeros,self.Sx,,ast,
np.zeros,self.Sy,,ast,
np.zeros,self.U,,ast,
np.zeros,self.reinst,,ast,
np.zeros,under,,ast,
np.zeros_like,over,,ast,
o,dyn.grain,,ast,
oc,over,,ast,
oc,under,,ast,
pi_task,strip_wD,,ast,
potential,carry,,ast,
potential,j,,ast,
pv,W_new_prosp,,ast,
q_levels,n,,ast,
q_levels,oc,,ast,
q_levels.values,n,,ast,
q_new,self.E,,ast,
qk,over,,ast,
qk,under,,ast,
readiness_update,dyn.readiness_update,,ast,
rho,dyn,,ast,
rho,self.LOC,,ast,
rho,self.rho,,ast,
sdot,dyn.U,,ast,
self,Lorig,,ast,
self,M0,,ast,
self,Mtot,,ast,
self,W,,ast,
self,a_task,,ast,
self,d,,ast,
self,e_new,,ast,
self,loc_new,,ast,
self,n0,,ast,
self,over,,ast,
self,pi_task,,ast,
self,q_new,,ast,
self,qk,,ast,
self,self.B,,ast,
self,self.E,,ast,
self,self.FIT,,ast,
self,self.L,,ast,
self,self.LOC,,ast,
self,self.Sq,,ast,
self,self.Sx,,ast,
self,self.Sy,,ast,
self,self.U,,ast,
self,self.mu,,ast,
self,self.mu0,,ast,
self,self.original,,ast,
self,self.q0,,ast,
self,self.reinst,,ast,
self,strip_wD,,ast,
self,under,,ast,
self.E,self.FIT,,ast,
self.L,Lorig,,ast,
self.LOC,self.FIT,,ast,
self.Pi,W,,ast,
self.Sq,q_new,,ast,
self.Sx,self.mu,,ast,
self.Sy,self.mu,,ast,
self._cap,over,,ast,
self._cap,under,,ast,
self._cap.v,over,,ast,
self._cap.v,under,,ast,
self._keys,q_new,,ast,
self._keys,under,,ast,
self._match_E,self.E,,ast,
self.area,W,,ast,
self.b_w,strip_wD,,ast,
self.cell_of,W,,ast,
self.ell,e_new,,ast,
self.eq,a_task,,ast,
self.eq,pi_task,,ast,
self.eq.a_task,a_task,,ast,
self.eq.pi_task,pi_task,,ast,
self.gx,d,,ast,
self.gx,self.Sx,,ast,
self.gy,d,,ast,
self.gy,self.Sy,,ast,
self.mu,d,,ast,
self.mu,self.mu0,,ast,
self.mu.copy,self.mu0,,ast,
self.mu0,self.mu,,ast,
self.n0,Lorig,,ast,
self.n0,W,,ast,
self.n0,n0,,ast,
self.n_occ,W,,ast,
self.ncell,self.B,,ast,
self.ncell,self.U,,ast,
self.original,M0,,ast,
self.original,Mtot,,ast,
self.q0,q_new,,ast,
self.q_levels,self.E,,ast,
self.q_levels,self.q0,,ast,
self.q_levels.items,self.q0,,ast,
self.qk_grid,qk,,ast,
self.qk_grid,self.Sq,,ast,
self.qk_grid,under,,ast,
self.qk_grid.size,under,,ast,
self.reinst,Mtot,,ast,
self.rho,loc_new,,ast,
self.rho,self.LOC,,ast,
self.row_of,W,,ast,
self.sw,self.original,,ast,
set_AK,a_grid,,ast,
share,t_o,,ast,
softmax_target,Tgt,,ast,
strip_wD,W,,ast,
sum,absorbed,,ast,
sum,absorbed_tot,,ast,
surv,sdot,,ast,
survival_gate,surv,,ast,
t,A_K,,ast,
t,A_of,,ast,
t_o,absorbed,,ast,
t_o,des,,ast,
t_o,dyn.grain,,ast,
t_o,dyn.reinst,,ast,
t_o.sum,absorbed,,ast,
t_o.sum,des,,ast,
t_o.sum,dyn.reinst,,ast,
tech,A_final,,ast,
tech.A_K,A_final,,ast,
theta_L,dyn.L,,ast,
theta_abs,capo,,ast,
theta_abs,f_glob,,ast,
under,over,,ast,
v,self.q0,,ast,
v.copy,self.q0,,ast,
w_new,T_new,,ast,
