beta_m,pearson,spearman
1.000000000000000000e+00,2.603900775881738405e-01,2.772489342426749381e-01
2.000000000000000000e+00,3.216713514423562015e-01,2.641636109073938199e-01
3.000000000000000000e+00,3.907213624955748754e-01,3.170217818442798152e-01
5.000000000000000000e+00,5.180609030300173945e-01,4.874514575481502798e-01
8.000000000000000000e+00,6.186827580311884400e-01,6.615202974315934625e-01
