soc2018,year,wage_hourly,wage_source,tot_emp,n_soc2000,one_to_one
17-2131,1999,28.29,H_MEDIAN,21730.0,1,True
17-2141,1999,26.85000000000001,H_MEDIAN,202910.0,1,True
17-2151,1999,28.029999999999998,H_MEDIAN,7160.0,1,True
17-2161,1999,35.86999999999999,H_MEDIAN,9580.0,1,True
17-2171,1999,35.710000000000015,H_MEDIAN,9640.0,1,True
17-3011,1999,16.37,H_MEDIAN,92790.0,1,True
17-3012,1999,17.930000000000003,H_MEDIAN,39890.0,1,True
17-3013,1999,17.370000000000005,H_MEDIAN,65960.0,1,True
17-3021,1999,21.389999999999997,H_MEDIAN,17270.0,1,True
17-3022,1999,16.35,H_MEDIAN,91040.0,1,True
17-3023,1999,18.45,H_MEDIAN,242160.0,1,True
17-3024,1999,16.789999999999996,H_MEDIAN,40310.0,1,True
17-3025,1999,15.58,H_MEDIAN,18640.0,1,True
17-3026,1999,19.409999999999997,H_MEDIAN,51690.0,1,True
17-3027,1999,18.409999999999997,H_MEDIAN,57560.0,1,True
17-3031,1999,12.869999999999997,H_MEDIAN,47330.0,1,True
19-1021,1999,25.14999999999999,H_MEDIAN,11810.0,1,True
19-1022,1999,22.21,H_MEDIAN,15630.0,1,True
19-1023,1999,20.120000000000005,H_MEDIAN,11120.0,1,True
19-1031,1999,21.640000000000004,H_MEDIAN,12240.0,1,True
19-1032,1999,19.73,H_MEDIAN,10090.0,1,True
19-1041,1999,22.030000000000005,H_MEDIAN,2270.0,1,True
19-1042,1999,23.930000000000014,H_MEDIAN,21200.0,1,True
19-2011,1999,36.96,H_MEDIAN,680.0,1,True
19-2012,1999,36.63000000000001,H_MEDIAN,10290.0,1,True
19-2021,1999,25.6,H_MEDIAN,7170.0,1,True
19-2031,1999,23.069999999999997,H_MEDIAN,73840.0,1,True
19-2032,1999,27.329999999999995,H_MEDIAN,8200.0,1,True
19-2041,1999,20.989999999999995,H_MEDIAN,53610.0,1,True
19-2042,1999,26.18,H_MEDIAN,20940.0,1,True
19-2043,1999,25.530000000000005,H_MEDIAN,6890.0,1,True
19-3011,1999,27.92,H_MEDIAN,14490.0,1,True
19-3022,1999,8.360000000000001,H_MEDIAN,21990.0,1,True
19-3032,1999,33.589999999999996,H_MEDIAN,1780.0,1,True
19-3033,1999,22.75,H_MEDIAN,92460.0,1,False
19-3034,1999,22.75,H_MEDIAN,92460.0,1,False
19-3041,1999,20.78,H_MEDIAN,1320.0,1,True
19-3051,1999,21.41,H_MEDIAN,28730.0,1,True
19-3091,1999,16.89,H_MEDIAN,3220.0,1,True
19-3092,1999,19.98,H_MEDIAN,720.0,1,True
19-3093,1999,18.35000000000001,H_MEDIAN,1510.0,1,True
19-3094,1999,35.709999999999994,H_MEDIAN,4280.0,1,True
19-4012,1999,12.749999999999996,H_MEDIAN,15050.0,1,False
19-4013,1999,12.749999999999996,H_MEDIAN,15050.0,1,False
19-4021,1999,14.659999999999998,H_MEDIAN,39580.0,1,True
19-4031,1999,16.46,H_MEDIAN,78730.0,1,True
19-4042,1999,15.629999999999997,H_MEDIAN,26240.0,1,True
19-4043,1999,17.43,H_MEDIAN,10830.0,1,False
19-4044,1999,17.43,H_MEDIAN,10830.0,1,False
19-4051,1999,23.999999999999993,H_MEDIAN,2640.0,1,True
19-4071,1999,13.2,H_MEDIAN,17140.0,1,True
19-4092,1999,17.4,H_MEDIAN,5340.0,1,True
21-1011,1999,12.819999999999999,H_MEDIAN,57290.0,1,True
21-1012,1999,19.219999999999995,H_MEDIAN,190930.0,1,True
21-1013,1999,16.14,H_MEDIAN,18530.0,1,True
21-1014,1999,12.799999999999999,H_MEDIAN,62910.0,1,True
21-1015,1999,11.369999999999997,H_MEDIAN,93130.0,1,True
21-1021,1999,14.419999999999998,H_MEDIAN,262570.0,1,True
21-1022,1999,16.160000000000004,H_MEDIAN,101680.0,1,True
21-1023,1999,14.079999999999998,H_MEDIAN,72730.0,1,True
21-1091,1999,15.489999999999998,H_MEDIAN,41620.0,1,False
21-1092,1999,17.370000000000005,H_MEDIAN,78930.0,1,True
21-1093,1999,10.299999999999999,H_MEDIAN,242530.0,1,True
21-1094,1999,15.489999999999998,H_MEDIAN,41620.0,1,False
21-2011,1999,14.5,H_MEDIAN,26000.0,1,True
21-2021,1999,12.770000000000001,H_MEDIAN,14960.0,1,True
23-1011,1999,42.80999999999998,H_MEDIAN,464250.0,1,True
23-1012,1999,12.940000000000007,H_MEDIAN,26060.0,1,False
23-1021,1999,21.230000000000004,H_MEDIAN,27250.0,1,True
23-1022,1999,25.490000000000002,H_MEDIAN,6260.0,1,True
23-1023,1999,32.71999999999999,H_MEDIAN,23150.0,1,True
23-2011,1999,15.897622621148539,H_MEDIAN,201930.0,2,False
