onet_code,S1,S2,A1,A2
51-6062.00,1.9562962962962962,2.9050000000000002,2.5685,2.4571875
51-6063.00,1.5785185185185184,2.2487500000000002,2.2115,2.043125
51-6064.00,1.841851851851852,2.70375,2.4705,2.44125
51-6091.00,2.1285185185185185,2.5,2.743,2.4171875
51-6092.00,2.602222222222222,1.4675,3.281,1.8075
51-6093.00,2.3340740740740737,2.0637499999999998,2.788,2.555
51-7011.00,2.2507407407407407,2.6425,2.77,2.6053125
51-7021.00,2.1844444444444444,2.14,2.737,2.3596875
51-7031.00,2.0933333333333333,1.87625,2.881,2.2153125
51-7032.00,2.254074074074074,2.35875,2.8365,2.49125
51-7041.00,1.7222222222222223,2.39,2.3825,2.2734375
51-7042.00,1.8374074074074074,2.8125,2.6015,2.49125
51-8011.00,2.7925925925925927,1.8125,3.4625,1.5428125
51-8012.00,2.615555555555556,1.9375,3.2560000000000002,1.261875
51-8013.00,2.360740740740741,2.8875,3.025,2.3678125
51-8013.03,2.462962962962963,2.6875,2.9125,2.5115625
51-8013.04,2.5088888888888885,3.45375,3.2435,2.6009375
51-8021.00,2.363703703703704,3.08,2.873,2.34
51-8031.00,2.365925925925926,2.81,3.013,2.2425
51-8091.00,2.5825925925925928,2.75,3.161,2.343125
51-8092.00,2.4992592592592593,2.8762499999999998,3.0945,2.4653125
51-8093.00,2.532962962962963,2.7675,3.1815,2.53125
51-8099.01,2.6159259259259255,2.9387499999999998,3.2060000000000004,2.68375
51-9011.00,2.378888888888889,2.5775,3.0805,2.4421875
51-9012.00,2.361851851851852,2.63875,2.8440000000000003,2.54625
51-9021.00,2.2507407407407407,2.8125,2.675,2.6425
51-9022.00,1.934814814814815,2.485,2.543,2.3090625
51-9023.00,2.065185185185185,2.54625,2.6734999999999998,2.3425
51-9031.00,1.6696296296296296,0.95125,2.2809999999999997,1.8121875
51-9032.00,1.975925925925926,2.8112500000000002,2.613,2.42625
51-9041.00,1.8933333333333333,2.77875,2.5635,2.504375
51-9051.00,1.8507407407407408,1.8599999999999999,2.519,2.1403125
51-9061.00,2.211851851851852,1.9224999999999999,2.8245,1.9453125
51-9071.00,2.1866666666666665,1.3912499999999999,2.8440000000000003,1.6046875
51-9071.06,2.2785185185185184,1.96875,3.036,1.5903125
51-9081.00,2.375185185185185,2.1425,2.8015,1.73125
51-9082.00,2.6796296296296296,2.765,3.1495,2.06625
51-9083.00,2.0881481481481483,2.3125,2.6565000000000003,1.9259375
51-9111.00,1.8374074074074074,2.2487500000000002,2.7005,2.436875
51-9123.00,1.6977777777777778,1.21875,2.237,1.6446875
51-9124.00,1.865925925925926,2.625,2.5635,2.5425
51-9141.00,2.098148148148148,2.57875,2.735,2.0646875
51-9151.00,2.5514814814814817,2.4050000000000002,2.9425,1.9025
51-9161.00,2.4592592592592593,3.065,3.1185,2.660625
51-9162.00,2.6844444444444444,2.57625,3.2435,1.94125
51-9191.00,2.0140740740740743,2.8112500000000002,2.543,2.55
51-9192.00,1.6981481481481482,1.7962500000000001,2.251,2.11
51-9193.00,2.338888888888889,2.8737500000000002,2.7384999999999997,2.409375
51-9194.00,1.9755555555555557,2.11125,2.769,1.9528125
51-9195.03,1.8792592592592594,1.62625,2.407,2.175
51-9195.04,2.171111111111111,2.29875,2.788,2.4640625
51-9195.05,1.9633333333333332,1.5437500000000002,2.6995,2.320625
51-9196.00,2.0037037037037035,2.42,2.475,2.1378125
51-9197.00,1.5277777777777777,1.7475,2.143,2.41
51-9198.00,1.5092592592592593,1.7662499999999999,2.2359999999999998,2.2734375
53-1041.00,2.6481481481481484,1.875,3.119,2.561875
53-1042.00,2.7862962962962965,1.43875,3.0805,1.9853125
53-1042.01,2.7222222222222223,1.12375,2.9115,1.4565625
53-1043.00,2.8800000000000003,1.75125,3.2310000000000003,1.8434375
53-2011.00,3.095925925925926,2.2487500000000002,3.912,3.2425
53-2012.00,2.8703703703703702,2.40625,3.6685000000000003,2.9553125000000002
53-2021.00,3.0192592592592593,1.3275000000000001,4.093500000000001,1.5903125
53-2022.00,2.8333333333333335,1.1724999999999999,3.2865,1.9171875
53-2031.00,2.412962962962963,0.92,3.026,1.9753125
53-3011.00,2.234814814814815,1.49875,2.931,2.506875
53-3031.00,2.1081481481481483,1.08,2.7435,2.23
53-3032.00,1.9777777777777776,2.5625,2.6134999999999997,2.91875
53-3033.00,1.7866666666666668,1.7974999999999999,2.5629999999999997,2.456875
53-3051.00,1.9114814814814816,1.3912499999999999,2.7435,2.4640625
53-3052.00,1.6892592592592592,1.4849999999999999,2.325,2.3515625
53-3053.00,1.9729629629629628,1.61125,2.744,2.3703125
53-4011.00,2.2544444444444443,2.15625,2.9755,2.824375
53-4013.00,2.134074074074074,2.7175000000000002,2.9050000000000002,2.82
53-4031.00,2.592222222222222,1.435,3.087,2.5078125
53-4041.00,2.134074074074074,2.2175000000000002,2.7815000000000003,2.7153125
53-5011.00,2.3796296296296298,2.76375,2.943,3.0515625
53-5021.00,2.832962962962963,2.8575,3.312,2.9565625
53-5022.00,2.3577777777777778,2.735,2.888,2.8746875
53-5031.00,2.5925925925925926,3.53375,3.3365,2.5896875
53-6011.00,1.8966666666666667,1.7037499999999999,2.6885,2.370625
53-6021.00,1.7181481481481482,0.92375,2.4505,2.2334375
53-6031.00,1.9255555555555557,2.25,2.489,2.3559375
53-6041.00,2.8937037037037037,1.6712500000000001,3.194,1.7575
53-6051.01,2.8251851851851852,2.8125,3.3945,2.25875
53-6051.07,2.0062962962962962,2.5,2.7375,2.1565625
53-6061.00,2.0155555555555558,0.96875,2.7,1.7503125
53-7011.00,2.25,2.53125,2.732,2.464375
53-7021.00,1.971851851851852,2.6425,2.6235,2.7646875
53-7031.00,2.0107407407407405,2.4375,2.3385,2.4921875
53-7041.00,1.967037037037037,2.32875,2.4655,2.5184375
53-7051.00,1.721851851851852,2.0475,2.356,2.7303125
53-7061.00,1.287037037037037,2.0949999999999998,1.8935,1.8746875
53-7062.00,1.6014814814814815,1.6087500000000001,2.395,2.4334375
53-7062.04,1.8148148148148149,2.1262499999999998,2.476,2.476875
53-7063.00,1.6766666666666667,1.72,2.5195,2.164375
53-7064.00,1.258888888888889,0.875,1.918,1.7809375
53-7065.00,1.9722222222222223,1.03125,2.513,2.1140625
53-7071.00,2.1755555555555555,2.7487500000000002,2.7805,2.3746875
53-7072.00,2.3051851851851852,2.54625,2.881,2.5496875
53-7073.00,1.774074074074074,2.82875,2.488,2.363125
53-7081.00,1.37,1.7825,1.969,2.249375
53-7121.00,2.2218518518518517,2.33,2.707,2.846875
