onet_code,aise,rse,job_zone,complementarity
11-1011.00,0.0354906054279749,0.0238095238095238,5.0,0.7316666666666667
11-1011.03,0.0835073068893528,0.0952380952380952,5.0,0.6233333333333334
11-1021.00,0.2995824634655532,0.369047619047619,4.0,0.7075
11-1031.00,0.0093945720250521,0.0,,
11-2011.00,0.5835073068893528,0.4880952380952381,4.0,0.5991666666666666
11-2021.00,0.5146137787056367,0.3571428571428571,4.0,0.6113888888888889
11-2022.00,0.5751565762004175,0.7857142857142857,4.0,0.5675
11-2032.00,0.4665970772442588,0.238095238095238,,
11-2033.00,0.1137787056367432,0.0595238095238095,,
11-3012.00,0.6774530271398748,0.5357142857142857,3.0,0.585
11-3013.00,0.1210855949895615,0.4404761904761904,,
11-3013.01,0.0626304801670146,0.25,,
11-3021.00,0.9029227557411272,0.7380952380952381,4.0,0.6211111111111112
11-3031.00,0.2453027139874739,0.1547619047619047,4.0,0.635
11-3031.01,0.1471816283924843,0.119047619047619,4.0,0.5897222222222223
11-3031.03,0.0668058455114822,0.0357142857142857,5.0,0.6263888888888889
11-3051.00,0.2536534446764092,0.6904761904761905,4.0,0.69
11-3051.01,0.6085594989561587,0.7380952380952381,4.0,0.6525
11-3051.02,0.0167014613778705,0.0833333333333333,3.0,0.7280555555555556
11-3051.03,0.1116910229645093,0.2738095238095238,4.0,0.7663888888888889
11-3051.04,0.0260960334029227,0.1785714285714285,4.0,0.7608333333333333
11-3051.06,0.0260960334029227,0.1547619047619047,3.0,0.7080555555555555
11-3061.00,0.4540709812108559,0.5476190476190477,4.0,0.5975
11-3071.00,0.2442588726513569,0.6309523809523809,4.0,0.6619444444444444
11-3071.04,0.5709812108559499,0.9404761904761904,4.0,0.641388888888889
11-3111.00,0.1325678496868476,0.1309523809523809,4.0,0.5697222222222222
11-3121.00,0.3643006263048016,0.2619047619047619,4.0,0.6394444444444445
11-3131.00,0.3924843423799583,0.3571428571428571,4.0,0.5822222222222223
11-9013.00,0.0177453027139874,0.1666666666666666,4.0,0.7025
11-9021.00,0.0605427974947807,0.3095238095238095,4.0,0.7244444444444444
11-9031.00,0.0553235908141962,0.0595238095238095,4.0,0.7075
11-9032.00,0.0553235908141962,0.0476190476190476,5.0,0.7347222222222222
11-9033.00,0.1534446764091858,0.119047619047619,5.0,0.6477777777777779
11-9039.00,0.5386221294363257,0.4761904761904761,,
11-9041.00,0.5052192066805845,0.5,5.0,0.6666666666666667
11-9041.01,0.0240083507306889,0.0714285714285714,4.0,0.6372222222222222
11-9051.00,0.0866388308977035,0.3333333333333333,2.0,0.6130555555555555
11-9071.00,0.0354906054279749,0.0714285714285714,2.0,0.6116666666666667
